Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
илч	caloric	" Үд дунд болоход нарны илч маш халуунаар шарав.
 Сайхан чиний хайрын илч чинь буураад байх юм."				[sound:52122.mp3]	27	52122
вектор	vector		зайн векторт чиглүүлэг	distance vector routing	<p>Зайнаас Вектороор Үржүүлэн цацах Чиглүүлэгч Протокол: Distance Vector Multicast Routing Protocol</p><p>зайн векторт чиглүүлэг: distance vector routing</p>	[sound:21155.mp3]	27	21155
үслэг	fur	 Үслэг богинохон хуруугаараа ширээгээ тоншив.	үслэг ан	fur and feather	<p>үслэг ан: fur and feather</p>	[sound:101321.mp3]	27	101321
энхрий	beloved	Энхрий бага насаа дэмий ганд нь хаямгүй.	энхрий зөөлнөөр тэврэх	an affectionate embrace	<p>зөөлхөн энхрий харц: a tender glance</p><p>энхрий зөөлнөөр тэврэх: an affectionate embrace</p>	[sound:136625.mp3]	27	136625
даалт	security		батлан даалт гарган авах	to stand bail for smb.	<p>батлан даалт авах: to take on a bail</p><p>батлан даалт гарган авах: to stand bail for so.</p><p>батлан даалт гарган авах: to stand bail for smb.</p>	[sound:28823.mp3]	27	28823
засалч	charlatan	Үй түмэн мэс засалч, үүрэглэн 				[sound:46953.mp3]	27	46953
урьтал	precancerous	Ямар ургамал ногоотой бэлчээрийг урьтал болгодгийг 				[sound:97293.mp3]	27	97293
эрхүүд						[sound:137192.mp3]	27	137192
үндэсгүй	invalid	Хөвгүүд ийнхүү эш үндэсгүй хардлага гөрдлөгт орсондоо гомдоцгоон эсэргүүцэж шуугилдаж зарим нэг нь одоо даруйхан нэгжиж үз гэж шаарджээ.	үндэсгүй няцаалт	an unsound argument	<p>үндэсгүй няцаалт: an unsound argument</p>	[sound:100512.mp3]	27	100512
наах	to paste	"Хорлоо түүнийг тэврэн авч чээжиндээ наав.
Гайгүй болов уу гэж бодсон чинь бас яггүй "	захианы дугтуй наах	to seal an envelope	<p>шошго наах: to attach a label</p><p>захианы дугтуй наах: to seal an envelope</p>	[sound:60535.mp3]	27	60535
хүлэг	steed	" Хүлгийн сайныг унаж холын бартааг зорь, хүний сайнтай нөхөрлөж хүчин чадлаа нэм.
- Хүлэг морь унаж, юманд явж байгаа болохоор үйлс хийморь нь сэргэж яваг гэж цай сүүний дээж өргөсөн юмаа гэж билээ."				[sound:117438.mp3]	27	117438
эрэлхийлэх	to search					[sound:137348.mp3]	27	137348
масс	bulk		уулын чулуулгийн массын харьцаа	mining rock mass rating	<p>уулын чулуулгийн массын харьцаа: mining rock mass rating</p>	[sound:56584.mp3]	27	56584
эвтэй	compatible	 - Хоёр хүн эвтэй бол төмөр хүрээ мэт.	бусадтай эвтэй байх	to be friendly with others	<p>бусадтай эвтэй байх: to be friendly with others</p>	[sound:135316.mp3]	27	135316
хослуулах	combine	 - Утга санаа, уран сайхныг хослуулан чадсанаар түүний сонирхол нь барагдашгүй болох тул тийнхүү утга зохиол гэжээ				[sound:111280.mp3]	27	111280
хичээнгүй	hard	" Шууд дотоод сан хөмрөгийн орох гарах тэмдэг товч ба данс бичгийг бүрэн барьж эл нарийн зөөлнийг хамтаар хамаарч, маш нарийн нягт хурц тодорхой Жүсэн хатан түүний адбиш хичээнгүй хянамгайг их л өршөөнө.
 Тэрээр удам угсаагаараа эрэмгий зоригтой, хичээнгүй няхуур "	шаргуу хичээнгүй ажилчин	a hard worker	<p>шаргуу хичээнгүй ажилчин: a hard worker</p>	[sound:108822.mp3]	27	108822
далангүй	an outright manner					[sound:30987.mp3]	27	30987
татлага	cord	"Татлага тайлаарай гэхэд өвгөн хөтөч Насанбат, Төмөрийн хамт түүчээ тэрэгний 
Атар тарган тэмээнүүд анир чимээгүйн дунд хамраа шуухитнуулан хааяа нэг нь татлага чангалахад ярдаглана."				[sound:85456.mp3]	27	85456
хялбаршуулах	make easier					[sound:121329.mp3]	27	121329
үсрэнгүй	make rapid strides					[sound:101345.mp3]	27	101345
цустай	having blood	 	цустай даавуу	a bloody cloth	<p>цустай даавуу: a bloody cloth</p>	[sound:125288.mp3]	27	125288
битүүрэх	to be closed	" - Өлгийн илчинд зулай битүүрснээ өтөлсөн хойноо ч мартдаггүй.
- Агуу ухаан минь битүүрч, уур омог минь нэмэгдэнэ."				[sound:13600.mp3]	27	13600
сандрах	inconvenience	"Эзгүй хойгуур өвдөж сандрах бий дээ.
 Тэгвэл задлаад орхи гэхэд Батсүх мэгдэн сандарч боодлыг задлав.
 Зарим хүүхнүүд яарч сандраад ч юм уу, яагаад юм ноосоо хам хумхан ялгасан болов.
Туршлагагүй хүүхэд сандарч тэвдээд бүүр баллаад хаячих байлгүй.
Аль дуртай юмыг над өгье гэхэд нь айж сандраад би юу ч авч чадсангүй."	могойг хараад сандрах	to feel panic at the sight of snakes	<p>могойг хараад сандрах: to feel panic at the sight of snakes</p>	[sound:76683.mp3]	27	76683
хөгжимт	musical					[sound:112034.mp3]	27	112034
эзгүй	absent	" Эзгүй газар турж үхэх л болж дээ гэж бодоод явж л байлаа.
 Миний бие ч гэсэн эзгүй зэлүүд цөл газраар чинь явж үзсэн билээ.
 Эзгүй тал руу зүглэхэд минь, хүмүүс хачирхан гайхсаныг өгүүлэх юун.
Эцгээ дуурайсан хүүтэй болохоор, 
Эзгүй хойгуур нь хүн иржээ."				[sound:135754.mp3]	27	135754
тохирол	accordance		зан аашны үл тохирол	incompatibility of temper	<p>зан аашны үл тохирол: incompatibility of temper</p>	[sound:87959.mp3]	27	87959
чанад	situated on the other side	"Олон мянган бээрийн чанад болж буй.
Чанад янадын эсэргүүцэл бөгөөд чухал учрыг зүйлчлэх ёс хаа буй."				[sound:127026.mp3]	27	127026
адаг	delta	"Адаг сүүлд нь алтан загас баригдав.
Арслан барс хэмээн архирсаар адаг эцэст яах санаа байгаа юм бол.
Амьтны адагт орж, нуруугаа нухлуулж яваагүй, хүн 
амьтныг зовоож үзсэнгүй.
Залхаан шийтгэх гэж зах хязгаар адаг мохоол нь үзэгдэхгүй цааш нааш хариу бичилцэв.
Ааль зан нь тогтуун бөгөөд хичээнгүй болбол адаг боол боловч дээд ноён болъюу.
Адгийн муу нохой Луузан ирэв."				[sound:1950.mp3]	26	1950
доголдох	irregularly	 - Жолооч маань суудал дээрээ өндөлзөн үе үе доголдох мотороо ч үл хайхарна.				[sound:33182.mp3]	26	33182
ялгарал	being different					[sound:138960.mp3]	26	138960
холбогдогч	person connected or concerned					[sound:109515.mp3]	26	109515
дурсах	to remember	"- Нас нөгчсөн 
- Би эртээр чамд дурсаж байсан."	дурсах	bring one's mind back	<p>газрыг дурсах: to make mention of a place</p><p>дурсах: bring one's mind back</p>	[sound:35736.mp3]	26	35736
алдагдалгүй	break-even		алдагдалгүй шахах арга	lossless compression scheme	<p>алдагдалгүй шахах арга: lossless compression scheme</p>	[sound:3525.mp3]	26	3525
тэжээлтэй	feeding					[sound:92562.mp3]	26	92562
журамт	noble					[sound:44061.mp3]	26	44061
хиагт						[sound:108147.mp3]	26	108147
хайс	grating	- Хар хорум 	нуур цөөрмийн хайс	grate bar	<p>дугуй хайс: revolving grate</p><p>нуур цөөрмийн хайс: grate bar</p>	[sound:104022.mp3]	26	104022
санаархал	resolution	Тэд баруун монголын хязгаарыг бүхэлд нь захирах санаархалтай байсан.				[sound:76466.mp3]	26	76466
гүйцэтгүүлэх	to make executed	- Их зүүн сумын занги Жамсран нараар гүйцэтгүүлбэл 				[sound:27292.mp3]	26	27292
ухамсарлах	to confess	Ялагдан дийлдсэнээ яасан гүн ухамсарлах байсан бол.	буруугаа ухамсарлах	to feel bad about	<p>алдаагаа ухамсарлах: see the light</p><p>ухамсарлах: wake up to</p><p>буруугаа ухамсарлах: to feel bad about</p>	[sound:98561.mp3]	26	98561
цөөрөм	pool	"Нугын цөөрөмд нүүдлийн 
Цөөрөм тохойн уснаас уугаа нь үгүй морь"				[sound:124805.mp3]	26	124805
дэлгэцтэй	curds on the board	- Нарны тунгалаг туяа 				[sound:38054.mp3]	26	38054
аваас	in case	Хожмын өдөр намайг оногдсон үүргээ биелүүлж чадсан л гэж хүн ард маань үзэх аваас миний 				[sound:658.mp3]	26	658
нийтлэлч	publicist					[sound:62391.mp3]	26	62391
дэгжин	elegant	" - Лүндэг гэдэг нь ч баян, 
Дарамын Лхамцоо гэдэг нь хэтэрхий дэгжин хээнцэр бүсгүй. 
 - Хүрэл хүүгийн нүдэнд энэ хүн бол нас бие гүйцсэн дэгжин сайхан эр "				[sound:37659.mp3]	26	37659
ухралт	recoil					[sound:98655.mp3]	26	98655
өмнөө	distinctive	"Энэ 
Царай нь хүртэл шал өмнөө болж, эмсэг охинцор байдал нь алга болсон... байв."				[sound:71692.mp3]	26	71692
мэргэшилтэй	skilled					[sound:59950.mp3]	26	59950
эмчлэгдэх	sanable	 - Эмчлэгдвэл эдгэнэ гэж үзээд явуулав				[sound:136397.mp3]	26	136397
халимаг	kalmyk					[sound:104536.mp3]	26	104536
наалт	adhesive					[sound:60485.mp3]	26	60485
төлөвших	set up					[sound:88447.mp3]	26	88447
барьцаалах	to mortgage		үл хөдлөх хөрөнгөөр барьцаалах	real estate mortgage	<p>үл хөдлөх хөрөнгөөр барьцаалах: real estate mortgage</p>	[sound:12527.mp3]	26	12527
итгэмжлэл	confidentiality	Ханилбал итгэмжлэл-эрдэнэ, харамгүй өглөгийн үр-эрдэнэ, 				[sound:52978.mp3]	26	52978
давст	salty	- Далан гүвээ ухавч, давст худаг гарахгүй.				[sound:29522.mp3]	26	29522
зайлах	parry	 Ам зайлах ус олдолгүй.	цагаан хэрэглэлийг зайлах	to rinse linen	<p>амаа зайлах: to rinse out one.'s mouth</p><p>цагаан хэрэглэлийг зайлах: to rinse linen</p>	[sound:45423.mp3]	26	45423
сэрэмж	guard	Сонор сэрэмж муутай хүнгэнэж зөөлхөн үгээр толгойг нь илэхийг би зөвшөөрөхгүй гэв.	сонор сэрэмжээ дээшлүүлэх	to increase vigilance	<p>анхаарал сэрэмжтэй байх: watch out for</p><p>сонор сэрэмжээ дээшлүүлэх: to increase vigilance</p>	[sound:82360.mp3]	26	82360
боксчин	miller					[sound:14371.mp3]	26	14371
хийцтэй	enriched	"- Боржгин хийцтэй эмээл дээр янзтайхан сууж, шар дурдан бүс эвлэгхэн ороосон нарийхан бэлхүүсээ 
 Харин эдүгээ тэр үеийн тийм уран хийцтэй их бүтээлүүдээс Богдын хүрээний гурван их бурхан л үлджээ."				[sound:108580.mp3]	26	108580
мянгат	having a thousand of sth.	"Мянгатын жанжин, зуут, тавьтын дарга нар хашхиралдан 
Галдан Ану хоёрыг цэргийн мянгатны хамт хүрээн дотуур эргэж үзээд Бор өргөөндөө буцаж ирэхэд…"				[sound:60225.mp3]	26	60225
бичмэл	hand written	- Өлзий гэртээ байхдаа бичмэл цагаан толгой үзэж байсан.	гар бичмэлийн оруулга	insertion to a manuscript	<p>гар бичмэлийн оруулга: insertion to a manuscript</p>	[sound:13761.mp3]	26	13761
микрофон	mike	Гартаа микрофон барьсан дэгжин залуу.				[sound:57022.mp3]	26	57022
одонт	having medals					[sound:66829.mp3]	26	66829
гишгэх	step	"- Үхрийн гишгэсэн мөрийг усаар дүүргэх хялбар.
- Тэр арай ядан гишгэмэр болов.
Эргэж харахад эгчийн хол хол алхсан мөр, миний ойр ойрхон гишгэсэн мөр уулын бэлээс ойн дундуур цасан дээгүүр зурайсан нь дэлгэсэн цагаан цаасан дээгүүр үсгийн хэв том бага хоёр хүний нэгэн зэрэг эв хав муутайхан таталгасан бичиг мэт.
- Гэтэл ах нь хазгай гишгэсэн эхнэрээ татаж авахын оронд түлхэж орхисон байв.
- Гишгэсэн алхам бүрээ эргэн харж өөрийгөө дүгнэн бодож явсан юм.
Алив хүүхдүүдэд өөх мах алаглуулан огтлоод өг гэж алхах гишгэх тоолондоо шахаж шавдаж байв."	үр тариаг няц гишгэх	to trample down the corn	<p>хүний хал дээр гишгэх: to step on someone's feet</p><p>бусдын хөлийн хуруун дээр гишгэх: to tread on so.'s toes</p><p>үр тариаг няц гишгэх: to trample down the corn</p>	[sound:24121.mp3]	26	24121
хадгалагдах	to remain	 Учирт хүний санаа нүдэн эрдэнэдээ хадгалагдсаар иржээ.				[sound:103355.mp3]	26	103355
даалин	cloth bag for a snuffbox	"- Аав минь намайг үнсээд, даалингаа аваад гарч одов.
- Хоргой даалингаасаа том хөөрөг гарган тамхилав."				[sound:28804.mp3]	26	28804
хайран	precious	 Хайран сайхан морьдоороо хаш гаанс авна 				[sound:103892.mp3]	26	103892
нэгхэн						[sound:65242.mp3]	26	65242
хараал	damn	 Бөө удган хараал зүхэл хийх нь нарийн ёс горимтой	хараал идэх	to suffer damnation	<p>хараал идэх: to suffer damnation</p>	[sound:106146.mp3]	26	106146
дадлагажуулах	get into	- Хил хамгаалах ажилд нэлээд дадлагажуулжээ.				[sound:30388.mp3]	26	30388
биологи	biology	 - Бид өнөөдөр биологийн хичээлээр гүрвэлийн тухай үзсэн.				[sound:13487.mp3]	26	13487
нунтаг	powder	"Үхрийн нунтаг 
Модон орны цагаан даавуунаас угаалгын нунтаг анхилан... байлаа."	нунтаг кофе	ground coffee	<p>нунтаг саван: soappowder powder</p><p>нарийн ширхэгтэй нунтаг: an impalpable powder</p><p>уусдаг нунтаг: soluble powder</p><p>нунтаг кофе: ground coffee</p>	[sound:64033.mp3]	26	64033
мананцар	fogginess	Модны оройгоор сийрэгхэн мананцар тогтжээ.				[sound:56000.mp3]	26	56000
шийдүүлэх	solved					[sound:131707.mp3]	26	131707
мэх	scheme	"Эвдэрхий Жамухын зальхай зусрын мэх заль зэвүүрэлтэй.
Ер нь дэлт чонын ов мэх, хүчин чадал маш их.
Даагаа нэхнэ дээ гэхээр нь дахин барилдаж, хэн хэн нь хамаг мэхээ хийж, нэлээн тэнцсэний эцэст Сүрэн сурмаг гэгч нь сээрэн дунгуй хийж хаяв.
“Яая даа байз” гэж Дүвжир мэх үхэн, түргэн зуур олон янзын юм бодов."	балиар заваан мэх	a dirty trick	<p>заваан заль мэх: a mangy trick</p><p>балиар заваан мэх: a dirty trick</p>	[sound:60055.mp3]	26	60055
шатарчин	chess player					[sound:131006.mp3]	26	131006
хорлолт	malefice					[sound:110885.mp3]	26	110885
гоёмсог	gorgeous	- Ийм гоёмсог сайхан зодгийг монгол эмэгтэй урчуул гараа гаргаж урлан шаглан хийдэг байв.	гоёмсог бараа	fancy goods	<p>гоёмсог малгай: a fancy hat</p><p>гоёмсог бараа: fancy goods</p>	[sound:24406.mp3]	26	24406
сүржин	grandiloquent	"Сүржин албанаас огцорсноос ч хавьгүй илүү сэтгэл гонсойлгожээ.
Их сүржин гоё үгээр андгай тангараг өгч амь гуйж байжээ.
Энэ сүржин явдлыг дөнгөж өнгөрмөгц би Эрдэнэ вангийн тамганаас зам явах улааны зар бичиг шийтгүүлэн авч нутгаас гарлаа."				[sound:80798.mp3]	26	80798
солгой	left-hand	"Солгой гараараа зүрхний 
 Шимээсгийн ирийг өөрийн бие рүү чиглүүлэн үзүүрээс нь барьж, солгой талын өвдөг дээрээ онгиор нь тулж хагас сууж билүүднэ.
Урдаас нь морьтой хүн ирсэн нь солгой Дорлиг байлаа. 
Би тэднийг хурганы хүүхдүүд байж том хүнийг шохоорхлоо хэмээн ахархаж солгой нүдээр ч харалгүй галгиулж өнгөрдөг сөн."				[sound:77883.mp3]	26	77883
сульдах	to grow weak	"Шархтай сульдсан хэдэн хүн яваад юу гавих билээ.
Идэж ууж ханамагц бие сульдаж нойр хүрэв.
Харин энэ завсар хээр морь тун их сульдаж ирлээ.
 Барагцаалахад дөчөөд алхмын цаана сульдаж унах дөхөөд явж байлаа."				[sound:79434.mp3]	26	79434
ханамжтай	satisfying	 				[sound:105392.mp3]	26	105392
зургаад	the shops close at 6					[sound:49284.mp3]	26	49284
дайтай		" - Эрэг дээр нь орны дайтай банзан дээр, нарийн шүхэр дэлгэн хатгаад, 
Чоймбол Дулам хоёр үрийн мөрөөсөл болж байсан болохоор  баяр хөөр болж, хүний дайтай хүн болгоно, сайн лам болгоно гэж амлажээ."				[sound:30678.mp3]	25	30678
хаш	jade	 Алексей баруун хоймор зүүн өвдгийг нугалан сууж 				[sound:107844.mp3]	25	107844
тэмдгээ	tiger					[sound:92701.mp3]	25	92701
хавсаргах	to attach	Данзан хоёр 				[sound:102583.mp3]	25	102583
харьяалах	to be connected or affiliated					[sound:107252.mp3]	25	107252
завшаан	opportunity	"Завшаан олдож байгаад зохиолч бид баяртай байгаа билээ.
Энэ завшааныг ашиглаж сайхан үгээ хэлдэг хэрэг.
Идэх юмаар тасалдаагүй завшаанд чонос өрхийн эмэгтэйчүүд харвах сургууль өдөр бүр хийнэ."	завшааныг ашиглах	to take advantage	<p>завшааныг ашиглах: to take advantage</p>	[sound:44808.mp3]	25	44808
амилуулах	resuscitate	Хөгжмийн аялгуу гэдэг өнийн юмыг амилуулах чадалтай ажээ.				[sound:4762.mp3]	25	4762
суут	outstanding	Суут богд Чингис хаан дөчин таван наснаа хаан ор суув.				[sound:80202.mp3]	25	80202
бадам						[sound:10299.mp3]	25	10299
салалт	divorce	"Тэд дуу шуугүй хооллож, юмаа төхөөрөн алс ирээдүй нь үл мэдэгдэх энэ 
 - За найзууд минь түр салалтынхаа ёслолыг дуусгая."				[sound:75679.mp3]	25	75679
сэв	chap	"Уулаас цөөн үгтэй хүн учир Ванданов Магсаржавыг дэмий сэрдэхээс биш тэгж ярилаа гэх өө сэв олдоггүй байлаа.
Хөх дэвийн өвс тань Тэвэг үсний минь сэв 
Дэмбэрэл хэрүүлдээ ханаагүй бололтой өдөхдөө сэв эрэн, нааш цааш холхихдоо хүнд 
Сэтгэлийн сэв арилахгүй хэчнээн "	хэн нэгний нэр төрд сэв суулгах	to cast a blur upon smb's reputation	<p>нэр төрд суусан сэв: a stain on one's reputation</p><p>хүний нэр төрд сэв суух: a stain on one's character</p><p>хэн нэгний нэр төрд сэв суулгах: to cast a blur upon smb's reputation</p>	[sound:81225.mp3]	25	81225
зэмгүй	guiltless	Гэм зэмгүй арван зургаан хүний амь нас талаар өнгөрч болохгүй.				[sound:50671.mp3]	25	50671
цахиур	silicon	"Цахиурын цагаан 
- Үүрсэн буу цахиур, унасан унаа гүү.
Хэт цахиурыг авч аяархан цахиж, майхан доторхыг харав."	цахилгаан цахих, хэт цахиур цахих	to strike fire from a flint	<p>цахилгаан цахих, хэт цахиур цахих: to strike fire from a flint</p>	[sound:123350.mp3]	25	123350
отор	the pasturing of animals in groups seeking good pasture away from the regular pasture	"Отрын адуу одтой нийлэн онгон талд бэлчээж билээ.
Бид отор нүүдэл хийн уул нуруу хэсэж, алс бөглүү суугаа ч тохилог сууж яагаад болдоггүй юм бэ."				[sound:69967.mp3]	25	69967
салган	to unseat	"Жалам үнэгэн харанхуйгаар үлгэн 
 - Өдөрт ганц хувцасны даавуу нэхэж түүгээр чинь бид үлгэн салган амьдарч байна."				[sound:75842.mp3]	25	75842
эндэгдэл	error	Мал сүргийг осол эндэгдэл гаргалгүй адуулан маллахад сайн хоточ нохой их ач тустай.				[sound:136548.mp3]	25	136548
зохиомж	angulation	Үйл явдал үзэл санаа, зохиомжоос эхлээд баатар 				[sound:48125.mp3]	25	48125
зорилттой		Хэл утга зохиолын багш болох зорилттой байна.				[sound:47979.mp3]	25	47979
суурьшилтай	settled	 Суурь 				[sound:80191.mp3]	25	80191
ялтан	convict	 Хөгшид нялхаст амуу түгээж, ялтан зэмтнийг тахин өнгөрүүлэв.				[sound:139073.mp3]	25	139073
чун						[sound:128629.mp3]	25	128629
үнсэн	cindery	"Өнөболд Нисманы үгийг сонсоод царай нь үнсэн хөх болов.
Үнэг шинших үнэргүй болтол үнс нүүрсийг нь хийсгэж үүрд үгүй болгов.
Түшмэд улсыг үнс тоос болгон элээн зовооно.
Бүсээ ч бүслээгүй үнс шороогоо ч арилгаж яваагүй.
Хатан ээжийн нь үнс хог гаргадаг шивэгчин хийсэн байхыг нь олж авав.
Утаа уугьж, үнс хийсэн сэтгэл сэртхийлгэн зэвүүхэн байлаа.
Аминдаа хайртай бол хаалгаа нээ, үгүй бол үнсийг чинь хийсгэнэ гэж хашхирав.
Улиастайг нь үнсэн товрог болгоод бүгдийг нь Чигэстэй голд урсгаад ташаагаа тулаад зогсож байх юмсан.
Үнсэнд хаясан шалз шиг өчүүхэн хэдэн боолчуудаа өршөө!
Нэгжүүлийг одсоны хойно Сорхоншар өгүүлрүүн: Намайг үнсээр хийсгэн алдав. Өдгөө эх дүү нараа эрэн од хэмээжээ."				[sound:100552.mp3]	25	100552
бараагүй	vanished missing	- Зэрэглээ униараас 				[sound:11649.mp3]	25	11649
бөхтэй	humped	- 				[sound:16573.mp3]	25	16573
хадан	rocky	"Хамаг бүхий газарт үнэг чонотой, хад асгандаа суусартай.
 Ерийн нэг хад чулуун оройтой уул байх тул “энэ чинь юу билээ” гэж Данзан бодов.
Ачаа хэрэгслийг хураахуйд хагас нь хад бартаа барьж оргон нууж одсон.
Элдэв дүрстэй хадан цохио сэхүйлцэн харагдана
 Даш гүн нүдээ анивчин махлаг хүзүүнийхээ хөлсийг арчиж, -Захирагч гуайн хэлдэг түмэн зөв гэсэнд нөгөөдүүл нь хадны цуурай шиг зөв, зөв гэлцэв.
- Тэнгэр надад үрийн хутаг эс заяасан тул намайг хадан гэрт гарахад энэ муу нохой юуны өмнө миний хошуу засгийн хэргэм залгамжлах гэж гүйх юм байна шүү.
 Жав гуай өнгөрсөн хаврын цагаан хагдаар хадан гэртээ харина гэж бодож байсан боловч бүтсэнгүй.
Хэрэв танайх үгүй сэн бол дорд дүү чинь хад мөргөж үхэхээс өөр арга алга даа гэж цаг ямагт бялдуучилна."				[sound:103207.mp3]	25	103207
амжилгүй	delayed	Би үг ч дуугарч амжилгүй сууж байв.				[sound:4726.mp3]	25	4726
живх	draw sheet					[sound:41863.mp3]	25	41863
цэвэршүүлэгч	purifier					[sound:125882.mp3]	25	125882
хувьсал	evolution					[sound:114536.mp3]	25	114536
даруу	humble		бүрэг даруу хүн	a modest man	<p>даруу төлөв зан авир: a chaste conduct</p><p>бүрэг даруу хүн: a modest man</p>	[sound:32371.mp3]	25	32371
хумигдах	insufficient	- Навч нь ихэнхдээ хавтгай, харин хатах үедээ хумигддаг байна.				[sound:115384.mp3]	25	115384
тушаах	to bid	Хааны өнгөрөн гарахыг хэдэн хоногийн өмнө ордны албаны хүмүүс 				[sound:90650.mp3]	25	90650
ангижруулах	to free	Харгис эзэрхэгүүдийн гараас улс төрийн аливаа 				[sound:5728.mp3]	25	5728
нөхцөлт	conditional					[sound:63677.mp3]	25	63677
тогтол	rules					[sound:86427.mp3]	25	86427
будилаантай	to complicate	- Энэ жил гэнэт 	будилаантай асуудал	a perplexed question	<p>будилаантай асуудал: a perplexed question</p>	[sound:16843.mp3]	25	16843
хүлээгдэл	suspension					[sound:117476.mp3]	25	117476
хон	to whine					[sound:109951.mp3]	25	109951
дуурайл	model	- Манай багачууд хүүхдэд сонин сайхан үлгэр дуурайл үзүүллээ.				[sound:36181.mp3]	25	36181
хадлан	hay	" Энэ ярианаас 
 Юу гэвэл энэ нэгдлийнхэн хадлан тариалан, тэрэг техник хөдөлгөдөг ажилд монгол дээл өмсөхөө байгаад уджээ.
 Манай орон эрс тэс эх газрын уур амьсгалтай учир зарим зун хур 
 Энэ суманд анх хэдэн жилийн өмнө ирэхэд хадлан дээр ажиллаж байсан Балдан гэдэг залуу байв."	өвс хадлан авах	to make hay	<p>өвс хадлан авах: to make hay</p>	[sound:103381.mp3]	25	103381
бамбар	torch	- Бамбар бариад зандан өрөөг баруун талаар нь тойроод гарав.				[sound:11383.mp3]	25	11383
мэдрэгдэх	tactile					[sound:59416.mp3]	25	59416
дүрслэл	description	- Хэд хэдэн дүр дүрслэл зохиолчийн санаанд өрсөлдөн орж ирэхийг алийг тэр гэх вэ?	хэтрүүлсэн дүрслэл	the exaggerated account	<p>тод томруун дүрслэл: a vivid description</p><p>аятайхан дүрслэл: a neat description</p><p>үнэн зөв дүрслэл: a truthful account</p><p>хэтрүүлсэн дүрслэл: the exaggerated account</p>	[sound:36861.mp3]	25	36861
амбаар	barn	Нэгдэлдээ модон байшин, амбаар барьжээ.				[sound:4634.mp3]	25	4634
үүлдэр	breed	“Талын улаан” үүлдрийн үнээ нь сүүний гарц ихтэй юм.	нохойн цэвэр үүлдэр	a pure breed of dog	<p>гахайн шинэ үүлдэр бий болгох: to develop a new breed of pig</p><p>шинэ үүлдэр бий болгох: to develop a new breed</p><p>нохойн цэвэр үүлдэр: a pure breed of dog</p>	[sound:101583.mp3]	25	101583
араншин	trait	"Араншин муутай хүний үрийг араар нь 
Өчнөөн жил ханилсан гэргийнхээ ааш араншинг сайн мэдэх билээ."				[sound:6426.mp3]	25	6426
кабель	water-laid	"Америкийн телевизийн кабелийн шугамаар ажилладаг 
 Кабелийн телевизтэй болов."				[sound:53395.mp3]	25	53395
шинэчлэгдэх	to be renewed	Орон нутгийн засаг захиргааны байгууллагууд шинэчлэгдэн байгуулагджээ.				[sound:132454.mp3]	25	132454
цоорхой	break	"Чих нь цоорхой.
Ноорхой цоорхой хувцастай.
Ойн цоорхойд гарч ирэв.
Ийм цоорхой хүмүүн ховор."	хуулийн цоорхой	a loophole in the law	<p>саруулхан ойн цоорхой: bright glade</p><p>хуулийн цоорхой: a loophole in the law</p>	[sound:124213.mp3]	25	124213
булаах	to capture	"- Хошуу сүргийг тэр чигээр нь 
 - Эргэлдсэн хурц нүдээр хүн бүхний дурыг булаасан 
 - Хөгжимчин залуус миний анхаарлыг юу юунаас илүү татаж нүд булаав.
- Аяа уудам сайхан хөдөөний газар гэгч нүүдэлчин монгол хүний сэтгэлийг булаана."	алтыг булаах	to pirate gold	<p>алтыг булаах: to pirate gold</p>	[sound:17040.mp3]	25	17040
сэргээш	dope					[sound:82191.mp3]	25	82191
элсэлт	enrollment	 Даш ... их л тэвдэн байж элсэлтийн шалгалт өгч сургуульдаа орсон.				[sound:136042.mp3]	25	136042
болц	maturity		жимсний болц	the maturity of fruit	<p>жимсний болц: the maturity of fruit</p>	[sound:14773.mp3]	25	14773
хай	slapdash	Хай мэдэхгүй. Үнэн худлыг хэн мэдэх билээ.				[sound:103655.mp3]	25	103655
сант						[sound:76757.mp3]	25	76757
ноогдох	hide land	Хорвоод ноогдсон насны минь хугацаатай тэнцүү урт ажээ.				[sound:63076.mp3]	25	63076
бүтэмжтэй	accomplished	- Таны минь их үйлс бүтэмжтэй буйд эргэлзэх юун.				[sound:19610.mp3]	25	19610
хийсвэр	ideal	"Эсвэл хийсвэр сэтгэлгээ чинь хэт хөгжөөд чулууг хүртэл алт гэдэг болоо юу? гэж асуух нь хүртэл бий.
 Тэгээд өнгөрсөн явдлаа нэхэн дурсах тутам хөнгөн "	хийсвэр зохиол	a facile prose	<p>хийсвэр санаа: an abstract idea</p><p>мэдээллийн хийсвэр төрөл: abstract data type</p><p>хийсвэр асуудал: an academic question</p><p>хийсвэр зохиол: a facile prose</p>	[sound:108429.mp3]	25	108429
зохилтой	suitable	Насны залууд эрдмийг эрхэмлэж, өтлөхийн цагт жаргалыг олбол зохилтой юм.				[sound:48071.mp3]	25	48071
эмт						[sound:136323.mp3]	25	136323
